date,usd_krw
2018-06-03,1070.3599853515625
2018-06-04,1070.530029296875
2018-06-05,1070.2900390625
2018-06-06,1065.1500244140625
2018-06-07,1071.3299560546875
2018-06-10,1072.6500244140625
2018-06-11,1076.3800048828125
2018-06-12,1079.25
2018-06-13,1084.699951171875
2018-06-14,1090.77001953125
2018-06-17,1103.8199462890625
2018-06-18,1104.1600341796875
2018-06-19,1111.1199951171875
2018-06-20,1107.719970703125
2018-06-21,1109.6300048828125
2018-06-24,1110.530029296875
2018-06-25,1114.030029296875
2018-06-26,1117.5999755859375
2018-06-27,1122.780029296875
2018-06-28,1120.5400390625
2018-07-01,1114.510009765625
2018-07-02,1118.1700439453125
2018-07-03,1113.3399658203125
2018-07-04,1114.31005859375
2018-07-05,1117.760009765625
2018-07-08,1113.6500244140625
2018-07-09,1112.47998046875
2018-07-10,1112.56005859375
2018-07-11,1127.1700439453125
2018-07-12,1122.6500244140625
2018-07-15,1129.8499755859375
2018-07-16,1126.9000244140625
2018-07-17,1125.550048828125
2018-07-18,1131.0899658203125
2018-07-19,1134.47998046875
2018-07-22,1127.1600341796875
2018-07-23,1132.449951171875
2018-07-24,1127.97998046875
2018-07-25,1115.75
2018-07-26,1123.1500244140625
2018-07-29,1114.5999755859375
2018-07-30,1116.6700439453125
2018-07-31,1112.199951171875
2018-08-01,1118.5999755859375
2018-08-02,1128.1500244140625
2018-08-05,1122.9000244140625
2018-08-06,1125.4000244140625
2018-08-07,1116.25
2018-08-08,1115.949951171875
2018-08-09,1121.8900146484375
2018-08-12,1130.9000244140625
2018-08-13,1135.969970703125
2018-08-14,1126.75
2018-08-15,1136.3800048828125
2018-08-16,1126.239990234375
2018-08-19,1118.5
2018-08-20,1116.8800048828125
2018-08-21,1116.0999755859375
2018-08-22,1117.5
2018-08-23,1126.1500244140625
2018-08-26,1111.1700439453125
2018-08-27,1108.22998046875
2018-08-28,1106.8800048828125
2018-08-29,1108.449951171875
2018-08-30,1115.449951171875
2018-09-02,1114.81005859375
2018-09-03,1113.5
2018-09-04,1121.300048828125
2018-09-05,1118.0999755859375
2018-09-06,1124.699951171875
2018-09-09,1126.8499755859375
2018-09-10,1136.77001953125
2018-09-11,1125.300048828125
2018-09-12,1125.75
2018-09-13,1120.550048828125
2018-09-16,1120.9000244140625
2018-09-17,1125.6199951171875
2018-09-18,1120.800048828125
2018-09-19,1122.25
2018-09-20,1116.4000244140625
2018-09-23,1114.0999755859375
2018-09-24,1117.8499755859375
2018-09-25,1115.8299560546875
2018-09-26,1114.1700439453125
2018-09-27,1112.31005859375
2018-09-30,1109.010009765625
2018-10-01,1112.25
2018-10-02,1117.5
2018-10-03,1125.4200439453125
2018-10-04,1132.9000244140625
2018-10-07,1131.0999755859375
2018-10-08,1133.199951171875
2018-10-09,1132.4000244140625
2018-10-10,1142.8499755859375
2018-10-11,1134.300048828125
2018-10-14,1131.18994140625
2018-10-15,1135.1700439453125
2018-10-16,1122.1500244140625
2018-10-17,1127.0999755859375
2018-10-18,1136.5999755859375
2018-10-21,1131.5999755859375
2018-10-22,1131.25
2018-10-23,1136.6400146484375
2018-10-24,1137.56005859375
2018-10-25,1135.22998046875
2018-10-29,1139.5
2018-10-30,1142.0799560546875
2018-10-31,1137.699951171875
2018-11-01,1140.969970703125
2018-11-02,1129.050048828125
2018-11-05,1116.0999755859375
2018-11-06,1121.56005859375
2018-11-07,1119.949951171875
2018-11-08,1115.3699951171875
2018-11-09,1119.5699462890625
2018-11-12,1130.949951171875
2018-11-13,1137.4599609375
2018-11-14,1131.1300048828125
2018-11-15,1131.199951171875
2018-11-16,1127.0
2018-11-19,1120.4000244140625
2018-11-20,1126.18994140625
2018-11-21,1128.4000244140625
2018-11-22,1137.31005859375
2018-11-23,1135.5
2018-11-26,1133.5
2018-11-27,1129.030029296875
2018-11-28,1130.3699951171875
2018-11-29,1121.1199951171875
2018-11-30,1117.02001953125
2018-12-03,1117.1500244140625
2018-12-04,1108.300048828125
2018-12-05,1110.6300048828125
2018-12-06,1111.6600341796875
2018-12-07,1119.5999755859375
2018-12-10,1122.699951171875
2018-12-11,1131.5
2018-12-12,1127.6199951171875
2018-12-13,1123.8499755859375
2018-12-14,1127.02001953125
2018-12-17,1131.6500244140625
2018-12-18,1128.1500244140625
2018-12-19,1125.0699462890625
2018-12-20,1128.1300048828125
2018-12-21,1120.030029296875
2018-12-24,1127.5
2018-12-25,1123.22998046875
2018-12-26,1122.6300048828125
2018-12-27,1123.52001953125
2018-12-28,1119.5999755859375
2018-12-31,1116.300048828125
2019-01-01,1112.5
2019-01-02,1113.800048828125
2019-01-03,1122.1800537109375
2019-01-04,1124.1199951171875
2019-01-07,1114.4000244140625
2019-01-08,1116.4000244140625
2019-01-09,1121.050048828125
2019-01-10,1118.6700439453125
2019-01-11,1116.550048828125
2019-01-14,1118.5999755859375
2019-01-15,1122.0
2019-01-16,1122.4000244140625
2019-01-17,1118.77001953125
2019-01-18,1120.550048828125
2019-01-21,1125.7900390625
2019-01-22,1132.3699951171875
2019-01-23,1130.1500244140625
2019-01-24,1125.3299560546875
2019-01-25,1126.75
2019-01-28,1118.010009765625
2019-01-29,1119.699951171875
2019-01-30,1117.8699951171875
2019-01-31,1109.0
